Harness #,Shipped,Requested,Type,AWG,Wire Lot,Length (Meters),Cut,Cutter,Stripped,Stripper,45pin paddle code,15pin paddle code,Soldered,Solder,Solderer,Continuity + shorts,OK/NG,Repairs,Cleaned,Continuity,OK/NG,Repairs,Epoxy,Epoxy type,Epoxier,Continuity + shorts,OK/NG,Repairs,Lashing,Continuity + shorts,OK/NG,Visual inspection,Turned over,Repaired,Visual inspection 2,weeknum,Turned over 2,Notes,week of completion,,,,,,,,,,
Pre #,,,,36,,0.200,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,Notes,,,,,,,,,,,
"=COUNTIF('Production'!C:C, ""3.2 R4_G1"", 'Production'!AE:AE, ""<>"")",,,,0,,0.200,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,6 & 10 failed continuity,,,,,,,,,,,
Pre #,,,,36,,0.200,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,Complete continuity failure. Stripping process not complete?,,,,,,,,,,,
1,,,,36,,0.200,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,Complete continuity failure. Stripping process not complete?,,,,,,,,,,,
2,,,,36,,0.200,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,High resistance 45/135 Ω,,,,,,,,,,,
3,,,,36,,0.200,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,179/100 Ω,,,,,,,,,,,
4,,,,36,,0.200,02-12-19,,,,,,02-12-19,,,02-13-19,NG,,,,,,,2011,,,,,,,,,,,,,,35/ open Ω rosened and tinned,,,,,,,,,,,
5,,,,36,,0.200,02-12-19,,,,,,02-12-19,,,02-13-19,OK,,,,,,02-15-19,2011,,02-18-19,OK,,,,,,,broken wire,,,,20/open Ω Rosined and tinned,,,,,,,,,,,
6,,,,36,,0.200,02-12-19,,,,,,02-12-19,,,02-13-19,NG,,,,,,02-15-19,2011,,02-18-19,NG,,,,,,,,,,,"Rosin and tinned wires 60 / open _1.2/0.8Ω Sample to 4th floor, Sadia, 5/24/19",,,,,,,,,,,
7,,,,36,,0.200,02-13-19,,,,,,02-13-19,,,02-13-19,NG,,,,,,02-15-19,2011,,02-18-19,OK,,,,,,,wire broken found at epoxy application.,,,,Found at epoxy application.,,,,,,,,,,,
8,,,,36,,0.200,,,,,,,,,,,,,,,,,02-15-19,2011,,02-18-19,OK,,,,,,,broke wire,,,,Solder not adhearing color removed before insulation  to CERN 3/5/19,,,,,,,,,,,
9,,,,36,,0.200,,,,,,,,,,,,,,,,,02-15-19,2011,,02-18-19,OK,,,,,,,,,,,to CERN 3/5/19,,,,,,,,,,,
10,,,,36,,1.000,,,06-03-19,,,,06-04-19,,,,,,,,,,,2011,,,,,,,,,,,,,,"Sample to 4th floor, Sadia, 5/24/19",,,,,,,,,,,
11,,,,36,,1.000,,,06-03-19,,,,06-04-19,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,32,,0.200,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,32,,1.000,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,36,,0.200,,,,,,,08-30-19,,,08-30-19,OK,,,,,,08-30-19,2011,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,36,,0.200,,,,,,,08-30-19,,,09-04-19,OK,,,,,,09-04-19,2011,,07-21-20,OK ,,07-21-20,07-21-20,OK ,,,,,,,,,,,,,,,,,,
16,,,,36,,0.350,,,,,,,,,,09-04-19,OK,,,,,,09-04-19,2011,,,,,,,,,,,,,,"Removed from shop, no post epoxy continuity check",,,,,,,,,,,
17,,,,36,,0.350,,,,,,,,,,09-04-19,OK,,,,,,09-04-19,2011,,07-21-20,OK,,07-21-20,07-21-20,OK ,,,,,,,"Removed from shop, no post epoxy continuity check",,,,,,,,,,,
18,,,,36,,0.350,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,"Removed from shop, no post epoxy continuity check",,,,,,,,,,,
19,,,,36,,0.350,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,36,,1.000,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,2019-10-24,,,,,,,,,,,,,,,
21,,,,36,,1.000,,,,,,,,,,09-04-19,,,,,,,,2011,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,36,,1.000,,,,,,,,,,09-04-19,OK,,,,,,09-04-19,2011,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,36,,1.000,,,,,,,,,,,,,,,,,,2011,,,,,,,,,,,,,,"Removed from shop, no post epoxy continuity check",,,,,,,,,,,
24,,,,36,,NA,,,,,,,,,,,,,,,,,,2011,,,,,10-24-19,,,,,,,,,,,,,,,,,,,,
25,,,,36,,0.350,09-06-19,,09-12-19,,,,,,,,,,,,,,09-20-19,2011,,,OK,,09-24-19,,,,,,,,,Attempted stripping after soldering.  Process failure,,,,,,,,,,,
26,,,,34,,0.350,09-06-19,,09-12-19,,,,,,,,,,,,,,09-20-19,2011,,,,,09-24-19,,,,,,,,,,,,,,,,,,,,
27,,,,34,,0.350,09-06-19,,09-12-19,,,,,,,,,,,,,,09-20-19,2011,,,OK,,09-24-19,,,,,2019-09-24,,,,"13 & 14 shorted, repaired.",,,,,,,,,,,
28,,,,34,,0.350,09-06-19,,09-12-19,,,,,,,,,,,,,,09-20-19,2011,,,OK,,09-24-19,,,,,,,,,,,,,,,,,,,,
29,,,,34,,0.350,09-06-19,,09-12-19,,,,,,,,,,,,,,09-20-19,2011,,,OK,,09-24-19,,,,,,,,,,,,,,,,,,,,
30,,,,34,,0.200,09-06-19,,09-12-19,,,,,,,,,,,,,,09-20-19,2011,,,,,10-24-19,,,,,,,,,,,,,,,,,,,,
31,,,,34,,0.200,09-06-19,,09-12-19,,,,,,,,,,,,,,09-20-19,2011,,,OK,,09-24-19,,,,,,,,,,,,,,,,,,,,
32,,,,34,,1.000,09-06-19,,09-12-19,,,,,,,,,,,,,,09-20-19,2011,,,OK,,09-24-19,,,,,,,,,,,,,,,,,,,,
33,,,,34,,1.000,09-06-19,,09-12-19,,,,,,,,,,,,,,09-20-19,2011,,,OK,,09-24-19,,,,,,,,,,,,,,,,,,,,
34,,N/A,,36,,0.350,,,09-25-19,,,,10-18-19,,,10-18-19,OK,,,,,,10-18-19,2011,,10-21-19,OK,,10-21-19,,,,,,,,,,,,,,,,,,,,
35,,09-18-19,,36,,1.400,,,10-12-19,,,,10-18-19,,,10-18-19,OK,,,,,,10-18-19,2011,,10-21-19,OK,,10-21-19,,,,,,,,,Replacement for # 16,,,,,,,,,,,
36,,09-18-19,,36,,1.400,,,10-12-19,,,,10-18-19,,,10-18-19,NG,,,,,,10-22-19,2011,,,,,10-23-19,,,,,,,,,attempted to use laser.  Not successful,,,,,,,,,,,
37,,09-18-19,,36,,1.400,,,10-12-19,,,,10-18-19,,,10-18-19,OK,,,,,,10-22-19,2011,,10-22-19,OK,,10-23-19,,,,,,,,,#12 open,,,,,,,,,,,
38,,09-18-19,,36,,1.400,,,10-12-19,,,,10-18-19,,,10-18-19,NG,,,,,,10-22-19,2011,,10-23-19,OK,,,,,,,2019-10-21,,,,"18 open, donut
389/18/2019361.40010/12/201910/18/201910/18/2019NG10/18/201910/22/2019OK10/23/201910/18/2019wires 17-18 & 21-22 crossed at B"" end repaired",,,,,,,,,,,
39,,09-18-19,,34,,1.400,,,10-12-19,,,,10-18-19,,,10-18-19,,,,,,,10-22-19,2011,,10-21-19,OK,,,,,,,2019-10-23,,,,"Wires 17-18 & 21-22 crossed at ""B"" end repaired",,,,,,,,,,,
40,,09-18-19,,34,,1.400,,,10-12-19,,,,,,,,,,,,,,,2011,,10-22-19,OK,,10-23-19,,,,,,,,,,,,,,,,,,,,
41,,09-18-19,,34,,1.400,,,10-19-19,,,,10-22-19,,,10-23-19,OK,,,,,,10-23-19,2011,,10-24-19,OK,,11-12-19,11-12-19,OK,,,,,,,,,,,,,,,,,,
42,,09-18-19,,34,,1.400,,,10-19-19,,,,10-22-19,,,10-23-19,OK,,,,,,10-23-19,2011,,10-24-19,OK,,10-26-19,10-26-19,OK,,,,,,,,,,,,,,,,,,
43,,09-18-19,,twinax,,0.350,11-13-19,,12-02-19,,,,12-03-19,,,,NG,,,,,,Broken wires,2011,,,,,,,,,,,,,,,,,,,,,,,,,
44,,09-18-19,,twinax,,0.350,11-13-19,,12-02-19,,,,12-03-19,,,,NG,,,,,,Broken Wires,2011,,,,,,,,,,,,,,length change 1.0 _0.35 Conductor # change 5 if possible.,,,,,,,,,,,
45,,09-18-19,,twinax,,0.350,11-13-19,,12-03-19,,,,12-03-19,,,,NG,,,,,,Broken wires,2011,,,,,,,,,,,,,,length change 1.0 _0.35 Conductor # change 5 if possible.,,,,,,,,,,,
46,,09-24-19,,34,,2.000,09-25-19,,10-19-19,,,,10-23-19,,,10-23-19,OK,,,,,,10-23-19,2011,,10-24-19,OK,,11-12-19,11-12-19,OK,,,,,,,length change 1.0 _0.35 Conductor # change 5 if possible.,,,,,,,,,,,
47,,09-24-19,,34,,2.000,09-25-19,,10-19-19,,,,10-23-19,,,10-23-19,OK,,,,,,10-23-19,2011,,10-24-19,OK,,11-12-19,11-12-19,OK,,,,,,,,,,,,,,,,,,
48,,09-24-19,,36,,2.000,09-25-19,,10-19-19,,,,10-23-19,,,10-23-19,OK,,,,,,10-23-19,2011,,10-24-19,OK,,11-12-19,11-12-19,OK,,,,,,,,,,,,,,,,,,
49,,N/A,,,,0.200,,,09-25-19,,,,10-18-19,,,,,,,,,,,2011,,,,,10-24-19,,,,,,,,,,,,,,,,,,,,
50,,10-24-19,,36,,0.350,10-24-19,,10-25-19,,,,10-25-19,,,10-25-19,OK,,,,,,10-25-19,2011,,10-26-19,OK,,10-26-19,10-26-19,OK,,,,,,,Replacement for # 30 set aside for radiation hardness test,,,,,,,,,,,
51,,10-24-19,,36,,0.350,10-24-19,,10-25-19,,,,10-25-19,,,10-25-19,OK,,,,,,10-25-19,2011,,10-26-19,OK,,10-26-19,10-26-19,OK,,,,,,,,,,,,,,,,,,
52,,10-24-19,,36,,0.350,10-24-19,,10-25-19,,,,10-25-19,,,10-25-19,NG/OK,,,,,,10-25-19,2011,,10-26-19,OK,,10-26-19,10-26-19,OK,,,,,,,,,,,,,,,,,,
53,,10-24-19,,36,,1.000,10-24-19,,10-25-19,,,,10-26-19,,,11-12-19,OK,,,,,,11-12-19,2011,,11-13-19,OK,,11-13-19,11-14-19,OK,,,2019-10-25,,,,"wire 18 open.  Scrapped both sides A & B and resoldered.  Also Scrapped and resoldered # 20 end B based on visual ""Donut"".  ",,,,,,,,,,,
54,,10-24-19,,34,,1.000,10-25-19,,10-25-19,,,,11-12-19,,,11-12-19,OK,,,,,,11-12-19,2011,,11-13-19,OK,,11-13-19,11-13-19,OK,,,,,,,,,,,,,,,,,,
55,,10-24-19,,34,,1.000,10-25-19,,10-25-19,,,,11-12-19,,,11-12-19,OK,,,,,,11-12-19,2011,,11-13-19,OK,,11-15-19,11-15-19,OK,,,,,,,,,,,,,,,,,,
56,,10-28-19,,34,,0.350,10-29-19,,10-30-19,,,,11-11-19,,,11-12-19,OK,,,,,,11-12-19,2011,,11-13-19,OK,,11-14-19,11-14-19,OK,,,,,,, ,,,,,,,,,,,
57,,N/A,,34,,0.350,10-29-19,,10-30-19,,,,11-11-19,,,11-12-19,OK,,,,,,11-12-19,2011,,11-13-19,OK,,11-14-19,11-15-19,OK,,,,,,,,,,,,,,,,,,
58,,N/A,,34,,0.350,10-29-19,,10-30-19,,,,11-12-19,,,11-12-19,NG/OK,,,,,,11-12-19,2011,,11-13-19,OK,,11-15-19,11-15-19,OK,,,,,,,,,,,,,,,,,,
59,,N/A,,34,,0.350,10-29-19,,10-30-19,,,,11-11-19,,,11-12-19,OK,,,,,,11-12-19,2011,,11-13-19,OK,,11-15-19,11-15-19,OK,,,2019-11-12,,,,12 open Donut  Side b scrapped and resoldered.,,,,,,,,,,,
60,,10-30-19,,34,,0.350,11-19-19,,11-19-19,,,,11-20-19,,,11-20-19,OK,,,,,,11-20-19,2011,,11-21-19,OK,,07-21-20,07-21-20,OK ,,,,,,,,,,,,,,,,,,
61,,N/A,,34,,0.350,11-19-19,,11-19-19,,,,11-20-19,,,11-20-19,OK,,,,,,11-20-19,2011,,11-21-19,OK,,07-22-20,07-22-20,OK,,,,,,,,,,,,,,,,,,
62,,10-30-19,,36,,0.350,11-19-19,,11-19-19,,,,11-20-19,,,11-20-19,NG/OK,,,,,,11-20-19,2011,,11-21-19,OK,,07-22-20,07-22-20,OK ,,,,,,,,,,,,,,,,,,
63,,10-30-19,,36,,0.350,11-19-19,,11-19-19,,,,11-20-19,,,11-20-19,OK,,,,,,11-20-19,2011,,11-21-19,OK,,07-21-20,07-21-20,OK ,,09-11-20,2019-11-20,,,,11& 12 shorted at A end repaired,,,,,,,,,,,
64,,N/A,,36,,0.350,11-19-19,,11-19-19,,,,09-08-20,,,09-08-20,NG/OK,,,,,,09-21-20,2011,,09-22-20,OK ,,09-22-20,09-22-20,,,,2020-09-15,,,,lashing repairs,,,,,,,,,,,
65,,N/A,,36,,0.350,11-19-19,,11-19-19,,,,09-08-20,,,09-08-20,OK,,,,,,09-09-20,2011,,09-10-20,OK ,,09-10-20,09-10-20,OK ,,09-10-20,2020-09-21,,,,paddle inverted Initial assembly error.  resoldered both ends to correct,,,,,,,,,,,
66,,07-09-20,,34,,1.400,07-31-20,,09-04-20,,,,09-15-20,,,09-15-20,NG/OK,,,,,,09-16-20,2011,,09-17-20,OK ,,09-18-20,09-18-20,OK,,09-19-20,,,,,,,,,,,,,,,,
67,,07-09-20,,34,,2.000,08-05-20,,09-04-20,,,,09-09-20,,,09-09-20,OK,,,,,,09-09-20,2011,,09-10-20,OK ,,09-11-20,09-11-20,OK ,,09-11-20,,,,,"contact 2n & 2p shorted side ""B"" mask side.  cut bridge.",,,,,,,,,,,
68,,07-09-20,,34,,2.000,08-06-20,,09-04-20,,,,09-09-20,,,09-09-20,OK ,,,,,,09-09-20,2011,,09-10-20,OK ,,09-10-20,09-10-20,OK ,,09-10-20,,,,,Short section of lashing needs to be redone.,,,,,,,,,,,
69,,07-09-20,,34,,2.000,08-07-20,,09-04-20,,,,09-10-20,,,09-10-20,OK ,,,,,,09-16-20,2011,,09-17-20,OK ,,09-19-20,09-19-20,OK ,,09-19-20,,,,,wires swapped both ends also side A difficult to solder.  Stripping debris?,,,,,,,,,,,
70,,07-09-20,,36,,1.400,07-31-20,,09-04-20,,,,09-16-20,,,09-16-20,NG/OK,,,,,,09-21-20,2011,,09-22-20,OK ,,,,,,,,,,,,,,,,,,,,,,
71,,07-09-20,,36,,1.400,08-03-20,,09-04-20,,,,09-16-20,,,09-16-20,OK ,,,,,,09-16-20,2011,,09-17-20,OK ,,09-18-20,09-18-20,OK ,,09-18-20,2020-09-21,,,,"Several open circuits.  Wires sooty.  Lable orientation error.  caused paddle to be backwords resoldered sibe ""B"" initial assembly error.",,,,,,,,,,,
72,,07-09-20,,36,,2.000,08-04-20,,09-04-20,,,,09-09-20,,,09-09-20,OK,,,,,,09-09-20,2011,,09-10-20,OK ,,09-16-20,09-16-20,OK ,,09-16-20,,,,,,,,,,,,,,,,
73,,07-09-20,,36,,2.000,08-04-20,,09-04-20,,,,09-09-20,,,09-09-20,OK,,,,,,09-09-20,2011,,09-10-20,NG/OK,,09-15-20,09-15-20,OK,,09-15-20,,,,,,,,,,,,,,,,
74,,09-07-20,,36,,2.000,09-08-20,,09-08-20,,,,09-16-20,,,09-16-20,OK ,,,,,,09-16-20,2011,,09-17-20,OK,,09-18-20,09-18-20,OK ,,09-18-20,,,,,"Short 0n and 0p ""B"" end masking side of paddle.  Preparation error.",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NewSpool,,,,,,,,,,,
,,,TYPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,,10-20-20,1B,34,,0.350,10-22-20,,11-01-20,,,,11-03-20,,,11-17-20,NG/OK,,,,,,12-04-20,2011,,12-05-20,OK ,,12-07-20,12-08-20,OK ,,12-08-20,,,,,Everything below is first production request numbering starting at 100,,,,,,,,,,,
101,,10-20-20,1B,34,,0.350,10-22-20,,11-01-20,,,,11-16-20,,,11-17-20,NG/OK,,,,,,12-04-20,2011,,12-05-20,OK ,,12-07-20,12-08-20,OK ,,12-08-20,2020-11-23,,,,wiring location problem B-side mis communication,,,,,,,,,,,
102,,10-20-20,1B,34,,0.800,10-22-20,,11-01-20,,,,11-18-20,,,11-19-20,OK ,,,,,,11-19-20,2011,,11-20-20,OK ,,11-20-20,11-20-20,OK ,,11-20-20,2020-11-23,,,,wiring location problem B-side mis communication,,,,,,,,,,,
103,,10-20-20,1B,34,,0.800,10-22-20,,11-01-20,,,,11-19-20,,,11-19-20,OK ,,,,,,11-19-20,2011,,11-20-20,OK ,,11-20-20,11-20-20,OK ,,11-20-20,,,,,,,,,,,,,,,,
104,,10-20-20,1B,34,,1.000,10-23-20,,11-18-20,,,,11-19-20,,,11-19-20,OK ,,,,,,11-19-20,2011,,11-20-20,OK ,,11-20-20,11-20-20,OK ,,11-20-20,,,,,solder bridge of broken wire B-side 33 connector.,,,,,,,,,,,
105,,10-20-20,1B,34,,1.000,10-23-20,,11-18-20,,,,11-19-20,,,11-19-20,OK ,,,,,,11-19-20,2011,,11-20-20,OK ,,11-20-20,11-20-20,OK ,,11-20-20,,,,,,,,,,,,,,,,
106,,10-20-20,1B,34,,1.600,10-28-20,,11-18-20,,,,11-30-20,,,12-04-20,OK ,,,,,,12-04-20,2011,,12-05-20,OK ,,12-07-20,12-08-20,OK ,,12-08-20,,,,,,,,,,,,,,,,
107,,10-20-20,1B,34,,1.600,10-28-20,,11-18-20,,,,12-01-20,,,12-04-20,NG/OK,2021-02-11,,,,,02-23-21,UR6060,,02-24-21,NG/OK,2021-04-27,04-27-21,04-27-21,OK ,,04-28-21,,,,,,,,,,,,,,,,
108,,10-20-20,1B,34,,1.600,10-29-20,,11-18-20,,,,12-01-20,,,12-04-20,OK ,,,,,,12-04-20,2011,,12-05-20,OK ,,12-07-20,12-08-20,OK ,,12-08-20,,,,,"circuit 9 open resoldered, circuit 4 open found epoxy debris on 1st pad, burnished ",,,,,,,,,,,
109,,10-20-20,1B,34,,1.600,10-29-20,,11-18-20,,,,11-19-20,,,11-19-20,OK ,,,,,,11-19-20,2011,,11-23-20,OK ,,11-23-20,11-23-20,NG/OK,,11-23-20,,,,,,,,,,,,,,,,
110,,10-20-20,1B,34,,1.600,10-29-20,,11-18-20,,,,12-01-20,,,12-04-20,NG ,,,,,,,,,,,,,,,,Scrapped,,,,,"Epoxy over run on 45 card contacts,  cleaned up, continuity ok.",,,,,,,,,,,
111,,10-20-20,1B,34,,1.800,11-01-20,,11-18-20,,,,12-08-20,,,12-08-20,OK ,,,,,,12-09-20,2011,,12-10-20,OK ,,12-10-20,12-11-20,OK ,,12-11-20,,,,,"Circuit 10 open, 45 to 33 1~6,2~5,5~1,6~2 swapped  ??? Scrapped 3/22/24.",,,,,,,,,,,
112,,10-20-20,1B,34,,1.800,11-01-20,,11-18-20,,,,12-08-20,,,12-08-20,OK ,,,,,,12-09-20,2011,,12-10-20,NG ,,,,,,Scrapped,,,,,,,,,,,,,,,,
113,,10-20-20,1B,34,,2.000,11-01-20,,11-18-20,,,,12-08-20,,,12-08-20,OK ,,,,,,12-09-20,2011,,12-10-20,OK ,,12-10-20,12-11-20,OK ,,12-11-20,,,,,"Circuit 2 open, 3 & 4 shorted. Scrapped 3/22/24.",,,,,,,,,,,
114,,10-20-20,1B,34,,2.000,11-01-20,,11-18-20,,,,12-08-20,,,12-08-20,OK ,,,,,,12-09-20,2011,,12-10-20,NG,,,,,,Scrapped,,,,,,,,,,,,,,,,
