Cable name,Location,Status,Documentation,Last person & Date,Remaining,Cable number,Type,Gauge (AWG),Length (m),KC705 EyeBertScan (NEW SCRIPT),,,,,KC705 EyeBertScan (OLD SCRIPT),,,,,Date of 4 pt Resistance,"4 Pt DC resistance (ohms), 33 pin to 45 pin",,,,,,,,,,Avg,ohms/m,Error,Impedance from VNA (S12 using 2-5ns window),,,,,Impedance from VNA (S12 variable time window),,,,,CROC Min TAP0,,,,SCC173 Min TAP0,,,,CROC - SCC,CROC - SCC,TotMass (g),Mass,Mass/Length,BERT,Cable Mass,VNA,Pics,Irradiated,Thermal Cycle,Eye from Chip,For CERN,Enveloped,EE in a box,Scrapped,Comments,,,,
Type 1,,,,,,,,,,D3(22-30/23-32),D2(20-22/21-24),D1(18-14/19-16),D0(16-6/17-8),CMD(12-2/13-4),D3,D2,D1,D0,CMD,,D3_N(J24-J73),D3_P(J62-J35),D2_N(J23-J71),D2_P(J61-J33),D1_N(J22-J69),D1_P(J60-J31),D0_N(J21-J67),D0_P(J59-J29),CMD_N(J20-J66),CMD_P(J58-J28),,,,CMD(12-2/13-4),D0(16-6/17-8),D1(18-14/19-16),D2(20-22/21-24),D3(22-30/23-32),CMD(12-2/13-4),D0(16-6/17-8),D1(18-14/19-16),D2(20-26/21-24),D3(22-30/23-32),D3 10(-10),D3 10(-14),D0 10(-10),D0 10(-14),D3 10(-10) ,D3 10(-14),D0 10(-10),D0 10(-14),D3,D0,,,,,,,,,,,,,,,,,,,
TP_0p35m_100,Malott 4078,INCOMPLETE ,,,EyeBert Scan (new script),100,1B,34,0.35,,,,,,✓,✓,✓,✓,✓,,1.1402,1.1223,1.0964,1.0941,1.1248,1.1091,1.1155,1.1344,1.1725,1.2042,1.13,3.23,0.03,134.00,126.00,144.00,138.00,133.00,137.00,126.00,147.00,138.00,133.00,,,,,,,100,,,,1.222,,,✓,✓,✓,✓,,,,,✓,,,,,,,
TP_0p35m_101,Malott 4078,INCOMPLETE ,,,EyeBert Scan (new script),101,1B,34,0.35,,,,,,31680.00,32400.00,29680.00,32400.00,36560.00,,1.1278,1.1119,1.0915,1.0864,1.1093,1.1056,1.1132,1.1402,1.1715,1.2023,1.13,3.22,0.03,129.29,118.49,140.97,132.05,136.33,140.71,145.21,141.11,145.98,144.11,,,,,,,100,,,,1.219,,,✓,✓,✓,✓,,,,,✓,,,,,,,
TP_0p8m_102,Malott 4078,INCOMPLETE ,,,EyeBert Scan (new script),102,1B,34,0.80,,,,,,35440.00,26640.00,29920.00,31760.00,26160.00,,1.5872,1.5736,1.5419,1.5456,1.5598,1.5563,1.5626,1.5935,1.6212,1.6618,1.58,1.98,0.04,152.43,153.21,154.41,152.73,150.30,156.73,153.47,157.41,157.83,155.97,,,,,,,120,,,,2.256,,,✓,✓,✓,✓,,,,,✓,,,,,,,
TP_0p8m_103,Malott 4078,INCOMPLETE ,,,EyeBert Scan (new script),103,1B,34,0.80,,,,,,✓,✓,✓,✓,✓,,1.5919,1.5832,1.5490,1.5481,1.5642,1.5673,1.5687,1.5745,1.6291,1.6687,1.58,1.98,0.04,140.10,132.93,147.30,149.60,148.70,147.00,136.00,151.00,150.00,149.00,,,,,,,170,,,,2.258,,,✓,✓,✓,✓,,,,,✓,,,,,,,
TP_1m_104,Malott 4078,INCOMPLETE ,,,EyeBert Scan (new script),104,1B,34,1.00,,,,,,20320.00,27760.00,20940.00,27920.00,27600.00,,1.7594,1.7499,1.7186,1.7233,1.7375,1.7418,1.7432,1.7517,1.8015,1.8384,1.76,1.76,0.03,150.70,142.03,143.47,149.20,146.88,149.31,149.03,151.81,157.81,152.28,,,,,,,130,,,,2.726,,,✓,✓,✓,✓,,,,,✓,,,,,,,
TP_1m_105,Malott 4078,INCOMPLETE ,,,EyeBert Scan (new script),105,1B,34,1.00,,,,,,✓,✓,✓,✓,✓,,1.7564,1.7469,1.7187,1.7185,1.7326,1.7382,1.7391,1.7476,1.8182,1.8335,1.75,1.75,0.04,141.40,150.69,144.40,116.29,153.25,150.00,155.00,155.00,116.00,153.00,,,,,,,-1,,,,2.713,,,✓,✓,✓,✓,,,,,✓,,,"Unable to fully insert 45 pin paddle board into red adapter board for SCC BERT. Some epoxy is on pins, blocking connection. ",,,,
TP_1p6m_106,Malott 4078,INCOMPLETE ,,,EyeBert Scan (new script),106,1B,34,1.60,,,,,,25440.00,20320.00,19760.00,16560.00,19120.00,,2.2885,2.2841,2.2473,2.2495,2.2638,2.2674,2.2686,2.2741,2.3325,2.3651,2.28,1.43,0.04,138.65,142.95,144.47,139.87,138.45,155.22,156.63,157.07,155.91,154.82,,,,,,,210,,,,4.002,,,✓,✓,✓,✓,,,,,✓,,,,,,,
TP_1p6m_107,Malott 4078,INCOMPLETE ,,,"EyeBert Scan (new script), 4pt resistance, mass",107,1B,34,1.60,,,,,,30000.00,No 0 Error,23520.00,27760.00,25630.00,,,,,,,,,,,,#DIV/0!,,,134.08,140.28,90.36,138.02,140.71,149.47,154.18,91.20,151.02,153.11,,,,,,,200,,,,,,,,,✓,,,,,,✓,,,Faulty D2 Cannot get 0 errors on ibert,,,,
TP_1p6m_108,Malott 4078,INCOMPLETE ,,,EyeBert Scan (new script),108,1B,34,1.60,,,,,,✓,✓,✓,✓,✓,,2.2905,2.2862,2.2536,2.2561,2.2766,2.2852,2.2752,2.2919,2.3364,2.3802,2.29,1.43,0.04,141.28,140.33,134.61,108.02,132.97,155.18,153.38,150.89,111.01,153.99,,,,,,,-1,,,,4.001,,,✓,✓,✓,✓,,,,,✓,,,Unable to establish link using red adapter board for SCC BERT. Likely due to expoxy on pins on 45 pin paddle board.,,,,
