,,,Before Lashing,,,After Lashing,,
Index,Module,Channel,Height (mV),Jitter (ps),Width (ps),Height (mV),Jitter (ps),Width (ps)
1,M1,CMD,90.733,153.560,285.910,79.414,241.710,240.140
2,M1,D0,122.470,135.060,311.690,100.810,201.430,206.130
3,M1,D1,69.100,168.700,284.070,81.826,200.210,242.960
4,M2,CMD,79.099,172.580,240.420,72.339,232.690,130.510
5,M2,D0,102.590,121.980,297.030,91.938,230.160,156.000
6,M2,D1,76.205,126.480,137.840,59.886,267.850,171.880
7,M3,CMD,81.136,109.540,217.840,87.331,218.050,225.420
8,M3,D0,101.880,189.120,201.060,88.117,154.410,251.760
9,M3,D1,81.391,156.940,153.370,64.081,291.690,176.970
